#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
29,Pascal Siakam,Indiana Pacers,80,33.2,21.7,8.5,15.9,53.6,1.1,3.1,34.6,3.6,5.0,73.2,1.7,5.3,7.1,4.3,0.8,0.3,1.8,23.7
30,Victor Wembanyama,San Antonio Spurs,71,29.7,21.4,7.8,16.7,46.5,1.8,5.5,32.5,4.1,5.2,79.6,2.3,8.4,10.6,3.9,1.2,3.6,3.7,27.1
31,Jamal Murray,Denver Nuggets,59,31.5,21.2,8.0,16.7,48.1,2.5,5.8,42.5,2.7,3.1,85.3,0.7,3.4,4.1,6.5,1.0,0.7,2.1,22.2
32,Alperen Sengun,Houston Rockets,63,32.5,21.1,8.4,15.6,53.7,0.5,1.8,29.7,3.9,5.6,69.3,2.9,6.4,9.3,5.0,1.2,0.7,2.6,25.9
33,Miles Bridges,Charlotte Hornets,69,37.4,21.0,8.1,17.5,46.2,2.3,6.5,34.9,2.5,3.1,82.5,1.0,6.3,7.3,3.3,0.9,0.5,2.0,21.1
34,Brandon Ingram,New Orleans Pelicans,64,32.9,20.8,7.8,15.9,49.2,1.3,3.8,35.5,3.8,4.8,80.1,0.7,4.4,5.1,5.7,0.8,0.6,2.5,21.4
35,Jimmy Butler,Miami Heat,60,34.0,20.8,6.6,13.2,49.9,1.0,2.4,41.4,6.6,7.7,85.8,1.8,3.6,5.3,5.0,1.3,0.3,1.7,23.2
36,RJ Barrett,Toronto Raptors,58,31.7,20.2,7.5,15.2,49.5,1.6,4.3,36.0,3.6,5.0,71.5,0.9,4.5,5.4,3.3,0.5,0.4,2.2,18.6
37,Tyrese Haliburton,Indiana Pacers,69,32.2,20.1,7.2,15.2,47.7,2.8,7.8,36.4,2.8,3.3,85.5,0.5,3.4,3.9,10.9,1.2,0.7,2.3,26.1
38,CJ McCollum,New Orleans Pelicans,66,32.7,20.0,7.3,16.0,45.9,3.6,8.4,42.9,1.7,2.1,82.7,0.6,3.7,4.3,4.6,0.9,0.6,1.7,19.9
39,Scottie Barnes,Toronto Raptors,60,34.9,19.9,7.5,15.7,47.5,1.7,4.9,34.1,3.3,4.2,78.1,2.4,5.9,8.2,6.1,1.3,1.5,2.8,24.9
40,Terry Rozier,Miami Heat,61,33.4,19.8,7.2,16.4,44.3,2.4,6.7,36.3,2.8,3.2,86.9,0.6,3.5,4.0,5.6,1.0,0.3,1.7,19.5
41,Franz Wagner,Orlando Magic,72,32.5,19.7,7.3,15.2,48.2,1.3,4.6,28.1,3.8,4.4,85.0,1.0,4.3,5.3,3.7,1.1,0.4,1.9,19.8
42,Jalen Green,Houston Rockets,82,31.7,19.6,6.9,16.2,42.3,2.5,7.4,33.2,3.5,4.3,80.4,0.5,4.7,5.2,3.5,0.8,0.3,2.3,16.9
43,Mikal Bridges,Brooklyn Nets,82,34.8,19.6,6.9,15.8,43.6,2.7,7.2,37.2,3.1,3.9,81.4,0.8,3.7,4.5,3.6,1.0,0.4,2.0,17.5
44,Devin Vassell,San Antonio Spurs,68,33.1,19.5,7.3,15.5,47.2,2.4,6.6,37.2,2.4,3.0,80.1,0.4,3.4,3.8,4.1,1.1,0.3,1.6,18.4
45,Domantas Sabonis,Sacramento Kings,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,0.9,0.6,3.3,32.7
46,Bam Adebayo,Miami Heat,71,34.0,19.3,7.5,14.3,52.1,0.2,0.6,35.7,4.1,5.5,75.5,2.2,8.1,10.4,3.9,1.1,0.9,2.3,25.1
47,Coby White,Chicago Bulls,79,36.5,19.1,6.8,15.3,44.7,2.6,7.0,37.6,2.8,3.3,83.8,0.6,4.0,4.5,5.1,0.7,0.2,2.1,18.6
48,Jalen Williams,Oklahoma City Thunder,71,31.3,19.1,7.5,14.0,54.0,1.5,3.4,42.7,2.5,3.1,81.4,0.5,3.5,4.0,4.5,1.1,0.6,1.7,20.6
49,Collin Sexton,Utah Jazz,78,26.6,18.7,6.5,13.3,48.7,1.6,4.2,39.4,4.1,4.7,85.9,0.9,1.7,2.6,4.9,0.8,0.2,2.1,17.7
50,Nikola Vučević,Chicago Bulls,76,34.3,18.0,7.7,15.9,48.4,1.2,4.1,29.4,1.4,1.7,82.2,2.8,7.8,10.5,3.3,0.7,0.8,1.6,23.3
