PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Tyrese Haliburton,"Tue
4/9",IND,@,TOR,"W
140-123",31,30,5,5,2,1,10,16,62.5,3,8,37.5,7,10,70.0,73.5,0,5,2,1,=+15
Tyrese Haliburton,"Sun
4/7",IND,vs,MIA,"W
117-115",33,12,4,8,0,2,3,10,30.0,2,7,28.6,4,4,100.0,51.0,0,4,3,2,=+3
Tyrese Haliburton,"Fri
4/5",IND,vs,OKC,"W
126-112",36,8,2,11,1,0,3,8,37.5,2,6,33.3,0,0,,50.0,0,2,2,1,0
Tyrese Haliburton,"Wed
4/3",IND,@,BKN,"L
111-115",37,24,3,8,2,2,9,22,40.9,5,14,35.7,1,1,100.0,53.5,1,2,0,0,=+3
Tyrese Haliburton,"Mon
4/1",IND,vs,BKN,"W
133-111",27,27,4,13,1,1,9,15,60.0,4,7,57.1,5,5,100.0,78.5,0,4,0,1,=+26
CJ McCollum,"Mon
10/30",IND,vs,CHI,"L
105-112",36,19,5,13,2,0,6,16,37.5,1,8,12.5,6,7,85.7,49.8,1,4,4,1,=+2
CJ McCollum,"Sat
10/28",IND,@,CLE,"W
125-113",32,21,8,13,0,0,7,16,43.8,4,7,57.1,3,3,100.0,60.6,1,7,1,2,-1
CJ McCollum,"Wed
10/25",IND,vs,WAS,"W
143-120",27,20,3,11,1,2,9,16,56.3,2,6,33.3,0,0,,62.5,0,3,3,1,=+6
CJ McCollum,"Thu
11/30",IND,@,MIA,"L
132-142",40,44,2,10,3,1,15,28,53.6,6,16,37.5,8,12,66.7,66.1,0,2,2,0,-6
CJ McCollum,"Mon
11/27",IND,vs,POR,"L
110-114",36,33,2,9,0,0,11,17,64.7,3,6,50.0,8,9,88.9,78.7,0,2,3,1,-3
CJ McCollum,"Fri
11/24",IND,vs,DET,"W
136-113",32,26,2,10,0,0,9,23,39.1,5,13,38.5,3,3,100.0,53.5,0,2,1,0,=+9
CJ McCollum,"Wed
11/22",IND,vs,TOR,"L
131-132",34,33,3,16,0,1,12,22,54.5,5,10,50.0,4,5,80.0,68.2,1,2,3,3,=+4
CJ McCollum,"Tue
11/21",IND,@,ATL,"W
157-152",39,37,5,16,3,1,11,18,61.1,9,15,60.0,6,7,85.7,87.8,1,4,6,0,=+16
CJ McCollum,"Sun
11/19",IND,vs,ORL,"L
116-128",25,12,2,3,0,1,4,14,28.6,1,3,33.3,3,3,100.0,39.2,0,2,4,2,-30
CJ McCollum,"Tue
11/14",IND,@,PHI,"W
132-126",38,33,7,15,2,1,11,18,61.1,7,12,58.3,4,5,80.0,81.7,1,6,0,1,=+19
CJ McCollum,"Sun
11/12",IND,@,PHI,"L
126-137",37,25,1,17,2,1,9,14,64.3,3,6,50.0,4,4,100.0,79.3,0,1,0,0,=+4
CJ McCollum,"Thu
11/9",IND,vs,MIL,"W
126-124",38,29,6,10,0,1,10,17,58.8,5,9,55.6,4,4,100.0,77.3,1,5,2,1,=+14
CJ McCollum,"Wed
11/8",IND,vs,UTA,"W
134-118",31,16,6,13,1,0,6,12,50.0,1,6,16.7,3,3,100.0,60.1,1,5,2,0,-1
CJ McCollum,"Mon
11/6",IND,vs,SAS,"W
152-111",27,23,2,8,1,1,9,19,47.4,3,7,42.9,2,2,100.0,57.8,0,2,2,1,=+27
CJ McCollum,"Sat
11/4",IND,vs,CHA,"L
124-125",37,43,2,12,0,1,14,21,66.7,8,12,66.7,7,7,100.0,89.3,0,2,3,2,=+8
CJ McCollum,"Fri
11/3",IND,vs,CLE,"W
121-116",34,18,2,13,2,0,5,14,35.7,0,5,0.0,8,9,88.9,50.1,0,2,4,2,=+3
CJ McCollum,"Sat
12/30",IND,vs,NYK,"W
140-126",36,22,5,23,2,1,8,17,47.1,2,10,20.0,4,4,100.0,58.6,1,4,2,0,=+19
CJ McCollum,"Thu
12/28",IND,@,CHI,"W
120-104",37,21,3,20,2,1,7,17,41.2,6,13,46.2,1,2,50.0,58.7,0,3,0,2,=+32
CJ McCollum,"Tue
12/26",IND,@,HOU,"W
123-117",38,33,6,10,1,0,13,21,61.9,7,13,53.8,0,1,0.0,77.0,1,5,3,0,=+15
CJ McCollum,"Sat
12/23",IND,vs,ORL,"L
110-117",40,29,2,15,3,0,12,22,54.5,3,5,60.0,2,3,66.7,62.2,0,2,3,2,=+8
CJ McCollum,"Thu
12/21",IND,@,MEM,"L
103-116",38,17,4,14,0,0,7,19,36.8,2,12,16.7,1,2,50.0,42.8,0,4,4,2,=+1
CJ McCollum,"Wed
12/20",IND,vs,CHA,"W
144-113",28,19,3,13,1,1,6,14,42.9,3,9,33.3,4,4,100.0,60.3,1,2,4,0,=+32
CJ McCollum,"Mon
12/18",IND,vs,LAC,"L
127-151",31,8,2,11,0,0,3,12,25.0,1,5,20.0,1,2,50.0,31.1,0,2,4,1,-37
CJ McCollum,"Fri
12/15",IND,@,WAS,"L
123-137",28,19,2,11,0,0,7,17,41.2,2,6,33.3,3,3,100.0,51.9,1,1,4,2,-18
CJ McCollum,"Wed
12/13",IND,@,MIL,"L
126-140",31,22,5,7,0,0,8,16,50.0,1,4,25.0,5,7,71.4,57.7,1,4,3,0,-14
CJ McCollum,"Mon
12/11",IND,@,DET,"W
131-123",33,14,5,16,1,2,5,12,41.7,3,6,50.0,1,1,100.0,56.3,0,5,7,2,=+8
CJ McCollum,"Thu
12/7",IND,@,MIL,"W
128-119",37,27,7,15,0,1,11,19,57.9,3,9,33.3,2,2,100.0,67.9,3,4,0,1,0
CJ McCollum,"Mon
12/4",IND,vs,BOS,"W
122-112",40,26,10,13,1,0,10,18,55.6,5,11,45.5,1,1,100.0,70.5,3,7,0,2,=+15
CJ McCollum,"Tue
1/30",IND,@,BOS,"L
124-129",22,13,3,10,1,0,5,16,31.3,1,5,20.0,2,2,100.0,38.5,3,0,1,1,-4
CJ McCollum,"Fri
1/19",IND,@,POR,"L
115-118",35,21,2,17,0,0,6,14,42.9,2,7,28.6,7,9,77.8,58.5,0,2,0,1,=+16
CJ McCollum,"Mon
1/8",IND,vs,BOS,"W
133-131",13,7,2,6,0,0,3,5,60.0,1,3,33.3,0,0,,70.0,0,2,2,1,-4
CJ McCollum,"Sat
1/6",IND,vs,BOS,"L
101-118",35,17,6,7,5,0,5,17,29.4,2,9,22.2,5,5,100.0,44.3,1,5,4,1,-14
CJ McCollum,"Fri
1/5",IND,vs,ATL,"W
150-116",25,10,8,18,2,1,4,6,66.7,2,4,50.0,0,0,,83.3,1,7,2,1,=+24
CJ McCollum,"Wed
1/3",IND,vs,MIL,"W
142-130",34,31,2,12,1,3,10,20,50.0,5,11,45.5,6,6,100.0,68.5,0,2,0,1,=+21
CJ McCollum,"Mon
1/1",IND,@,MIL,"W
122-113",37,26,9,11,1,1,11,22,50.0,1,7,14.3,3,3,100.0,55.7,1,8,2,0,-5
CJ McCollum,"Wed
2/28",IND,vs,NOP,"W
123-114",34,17,3,13,1,1,7,15,46.7,3,8,37.5,0,0,,56.7,0,3,1,0,=+11
CJ McCollum,"Mon
2/26",IND,vs,TOR,"L
122-130",32,9,0,7,2,0,2,11,18.2,1,6,16.7,4,6,66.7,33.0,0,0,1,0,-16
CJ McCollum,"Sun
2/25",IND,vs,DAL,"W
133-111",31,17,3,10,4,0,8,15,53.3,1,5,20.0,0,0,,56.7,0,3,1,0,=+13
CJ McCollum,"Thu
2/22",IND,vs,DET,"W
129-115",34,25,2,13,2,0,10,18,55.6,4,10,40.0,1,1,100.0,67.8,0,2,5,0,=+12
CJ McCollum,"Wed
2/14",IND,@,TOR,"W
127-125",34,21,4,12,2,0,6,13,46.2,5,9,55.6,4,5,80.0,69.1,0,4,1,3,=+2
CJ McCollum,"Mon
2/12",IND,@,CHA,"L
102-111",34,13,6,12,0,0,5,15,33.3,3,8,37.5,0,0,,43.3,1,5,3,1,=+10
CJ McCollum,"Sat
2/10",IND,@,NYK,"W
125-111",30,22,3,12,0,1,7,14,50.0,4,9,44.4,4,5,80.0,67.9,0,3,1,0,=+11
CJ McCollum,"Thu
2/8",IND,vs,GSW,"L
109-131",26,5,1,11,1,1,2,7,28.6,1,4,25.0,0,0,,35.7,0,1,3,1,-9
