Metric,Day 1 Mean,Day 2 Mean,Non-B2B Mean,Day 1 Variance,Day 2 Variance,Non-B2B Variance,Difference (Day1 - Day2),Difference (Non-B2B - Day2),T-Statistic (Day1 vs Day2),P-Value (Day1 vs Day2),T-Statistic (Non-B2B vs Day2),P-Value (Non-B2B vs Day2)
PTS,18.438280166435508,18.19235436893204,18.491893076248903,86.54044694221952,90.09190859604159,86.15969757699348,0.24592579750346744,0.29953870731686294,2.5522494851641246,0.010715757016834837,1.833568055319643,0.06675291664264257
REB,6.608616504854369,6.475294729542302,6.720639789658194,15.381872866876245,16.22791148659901,15.856852012231906,0.13332177531206657,0.2453450601158922,3.3683469637411205,0.0007586784013961966,3.5117260863834314,0.00044752864732943863
TOV,2.0705617198335644,2.037014563106796,2.0823838737949165,2.585917881235846,2.3682006746036754,2.6432223676206683,0.033547156726768446,0.04536931068812056,1.7843748922578042,0.07438904334196775,1.6198843720179996,0.10529665679403331
