PLAYER NAME,DATE,MIN,PTS,REB,TOV
Shai Gilgeous-Alexander,2024-03-06,36,37,3,4.0
Shai Gilgeous-Alexander,2024-02-29,35,31,6,1.0
Shai Gilgeous-Alexander,2024-02-27,32,31,8,2.0
Shai Gilgeous-Alexander,2024-02-25,37,36,5,4.0
Shai Gilgeous-Alexander,2024-02-13,34,32,3,1.0
Shai Gilgeous-Alexander,2024-02-06,36,28,4,2.0
Shai Gilgeous-Alexander,2024-02-04,48,23,9,2.0
Shai Gilgeous-Alexander,2024-02-02,30,31,3,3.0
Shai Gilgeous-Alexander,2024-01-31,36,34,7,2.0
Shai Gilgeous-Alexander,2024-01-26,32,31,4,4.0
Shai Gilgeous-Alexander,2024-01-20,37,33,2,2.0
Shai Gilgeous-Alexander,2024-01-18,35,31,6,4.0
Shai Gilgeous-Alexander,2024-01-13,36,37,6,0.0
Shai Gilgeous-Alexander,2024-01-08,36,32,6,3.0
Shai Gilgeous-Alexander,2024-01-05,36,34,9,2.0
Shai Gilgeous-Alexander,2023-12-31,35,24,4,1.0
Shai Gilgeous-Alexander,2023-12-29,33,40,4,1.0
Shai Gilgeous-Alexander,2023-12-23,38,34,5,3.0
Shai Gilgeous-Alexander,2023-12-21,32,31,8,1.0
Shai Gilgeous-Alexander,2023-12-18,28,30,9,2.0
Shai Gilgeous-Alexander,2023-12-16,37,25,6,2.0
Shai Gilgeous-Alexander,2023-12-14,38,43,6,3.0
Shai Gilgeous-Alexander,2023-12-11,28,30,4,1.0
Shai Gilgeous-Alexander,2023-12-08,42,38,5,0.0
Shai Gilgeous-Alexander,2023-12-06,37,33,3,2.0
Shai Gilgeous-Alexander,2023-12-02,39,17,3,2.0
Shai Gilgeous-Alexander,2023-11-30,35,33,4,0.0
Shai Gilgeous-Alexander,2023-11-28,34,32,4,3.0
Shai Gilgeous-Alexander,2023-11-25,36,31,6,1.0
Shai Gilgeous-Alexander,2023-11-22,37,40,5,2.0
Shai Gilgeous-Alexander,2023-11-16,29,24,2,2.0
Shai Gilgeous-Alexander,2023-11-14,28,28,6,2.0
Shai Gilgeous-Alexander,2023-11-12,37,35,7,1.0
Shai Gilgeous-Alexander,2023-11-10,38,33,7,2.0
Shai Gilgeous-Alexander,2023-11-08,38,43,7,3.0
Shai Gilgeous-Alexander,2023-11-06,37,30,8,2.0
Shai Gilgeous-Alexander,2023-11-01,38,20,5,2.0
Shai Gilgeous-Alexander,2023-10-27,36,34,11,5.0
Shai Gilgeous-Alexander,2023-10-25,36,31,5,1.0
Jalen Brunson,2024-04-14,41,40,8,4.0
Jalen Brunson,2024-04-09,42,45,3,1.0
Jalen Brunson,2024-04-07,39,43,6,1.0
Jalen Brunson,2024-04-02,36,20,2,5.0
Jalen Brunson,2024-03-31,35,30,2,3.0
Jalen Brunson,2024-03-29,43,61,4,1.0
Jalen Brunson,2024-03-27,29,26,4,0.0
Jalen Brunson,2024-03-25,30,28,2,0.0
Jalen Brunson,2024-03-23,33,17,4,1.0
Jalen Brunson,2024-03-21,34,26,2,0.0
Jalen Brunson,2024-03-18,35,34,5,3.0
Jalen Brunson,2024-03-16,36,42,4,6.0
Jalen Brunson,2024-03-14,38,45,1,5.0
Jalen Brunson,2024-03-12,27,20,4,1.0
Jalen Brunson,2024-03-10,32,19,3,2.0
Jalen Brunson,2024-03-08,29,26,3,1.0
Jalen Brunson,2024-03-03,1,0,0,0.0
Jalen Brunson,2024-02-29,37,27,5,4.0
Jalen Brunson,2024-02-26,40,35,1,4.0
Jalen Brunson,2024-02-24,38,34,3,4.0
Jalen Brunson,2024-02-22,39,21,2,7.0
Jalen Brunson,2024-02-14,35,33,1,3.0
Jalen Brunson,2024-02-12,39,27,4,5.0
Jalen Brunson,2024-02-10,37,39,3,2.0
Jalen Brunson,2024-02-06,31,27,3,2.0
Jalen Brunson,2024-02-03,45,36,6,3.0
Jalen Brunson,2024-02-01,37,40,5,2.0
Jalen Brunson,2024-01-27,38,32,5,0.0
