PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Bobby Portis,"Sat
12/23",MIL,@,NYK,"W
130-111",27,23,11,1,2,0,9,14,64.3,3,4,75.0,2,2,100.0,77.3,2,9,2,4,=+17
Bobby Portis,"Thu
12/21",MIL,vs,ORL,"W
118-114",21,6,8,1,1,1,3,8,37.5,0,2,0.0,0,0,,37.5,5,3,0,1,-18
Bobby Portis,"Tue
12/19",MIL,vs,SAS,"W
132-119",26,23,10,2,2,0,10,16,62.5,3,6,50.0,0,0,,71.9,1,9,0,3,=+4
Bobby Portis,"Sun
12/17",MIL,vs,HOU,"W
128-119",25,11,6,0,0,0,5,7,71.4,1,2,50.0,0,0,,78.6,4,2,0,3,=+7
Bobby Portis,"Sat
12/16",MIL,vs,DET,"W
146-114",27,31,12,1,1,0,11,18,61.1,4,7,57.1,5,5,100.0,76.7,3,9,4,3,=+24
Bobby Portis,"Wed
12/13",MIL,vs,IND,"W
140-126",23,19,2,2,0,0,8,13,61.5,3,4,75.0,0,0,,73.1,1,1,0,2,=+16
Bobby Portis,"Mon
12/11",MIL,vs,CHI,"W
133-129",25,17,7,0,0,0,7,11,63.6,1,3,33.3,2,2,100.0,71.5,2,5,1,3,-4
Bobby Portis,"Thu
12/7",MIL,vs,IND,"L
119-128",18,4,6,1,0,1,2,5,40.0,0,1,0.0,0,0,,40.0,4,2,1,2,-6
Bobby Portis,"Tue
12/5",MIL,vs,NYK,"W
146-122",24,13,4,1,0,2,5,9,55.6,1,3,33.3,2,2,100.0,65.8,2,2,1,4,-7
Bobby Portis,"Sat
12/2",MIL,vs,ATL,"W
132-121",23,15,11,0,0,0,7,13,53.8,1,4,25.0,0,0,,57.7,2,9,0,3,=+9
Bobby Portis,"Thu
11/30",MIL,@,CHI,"L
113-120",31,4,9,2,2,0,2,8,25.0,0,2,0.0,0,0,,25.0,1,8,0,3,-14
Bobby Portis,"Tue
11/28",MIL,@,MIA,"W
131-124",23,6,2,0,0,0,3,8,37.5,0,2,0.0,0,0,,37.5,0,2,0,2,-12
Bobby Portis,"Sun
11/26",MIL,vs,POR,"W
108-102",31,12,8,1,2,3,5,12,41.7,2,5,40.0,0,0,,50.0,6,2,2,3,=+3
Bobby Portis,"Fri
11/24",MIL,vs,WAS,"W
131-128",25,2,6,1,0,1,1,5,20.0,0,1,0.0,0,0,,20.0,2,4,0,3,=+3
Bobby Portis,"Wed
11/22",MIL,@,BOS,"L
116-119",21,4,7,0,0,0,2,6,33.3,0,0,,0,0,,33.3,1,6,0,2,-4
Bobby Portis,"Mon
11/20",MIL,@,WAS,"W
142-129",23,17,8,1,1,0,8,13,61.5,1,3,33.3,0,0,,65.4,1,7,1,2,=+13
Bobby Portis,"Sat
11/18",MIL,vs,DAL,"W
132-125",22,11,7,2,0,0,5,10,50.0,1,2,50.0,0,0,,55.0,1,6,0,0,=+7
Bobby Portis,"Fri
11/17",MIL,@,CHA,"W
130-99",30,13,7,1,1,0,6,12,50.0,1,3,33.3,0,0,,54.2,0,7,3,1,=+4
Bobby Portis,"Wed
11/15",MIL,@,TOR,"W
128-112",31,18,7,0,0,2,7,11,63.6,2,3,66.7,2,2,100.0,75.8,1,6,0,5,=+15
Bobby Portis,"Mon
11/13",MIL,vs,CHI,"W
118-109",25,19,10,2,0,1,7,10,70.0,3,6,50.0,2,2,100.0,87.3,2,8,0,3,=+24
Bobby Portis,"Sat
11/11",MIL,@,ORL,"L
97-112",28,13,7,1,2,0,4,11,36.4,2,5,40.0,3,4,75.0,50.9,1,6,2,4,-6
Bobby Portis,"Thu
11/9",MIL,@,IND,"L
124-126",24,11,8,2,1,1,5,11,45.5,0,2,0.0,1,1,100.0,48.1,0,8,3,2,=+6
Bobby Portis,"Wed
11/8",MIL,vs,DET,"W
120-118",23,18,5,2,0,0,7,14,50.0,1,4,25.0,3,3,100.0,58.7,2,3,2,1,-5
Bobby Portis,"Mon
11/6",MIL,@,BKN,"W
129-125",26,11,6,2,2,0,3,8,37.5,1,2,50.0,4,4,100.0,56.4,0,6,1,2,=+14
Bobby Portis,"Fri
11/3",MIL,vs,NYK,"W
110-105",17,4,2,0,2,0,2,10,20.0,0,2,0.0,0,0,,20.0,0,2,0,1,-2
