PLAYER NAME,DATE,TM,AGAINST,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Luka Dončić,"Sun
1/7",DAL,vs,MIN,"W
115-108",39,34,6,8,1,0,12,26,46.2,5,12,41.7,5,8,62.5,57.6,0,6,3,3,5
Luka Dončić,"Wed
1/3",DAL,vs,POR,"W
126-97",31,41,6,5,1,0,13,21,61.9,4,7,57.1,11,14,78.6,75.5,0,6,4,1,23
Luka Dončić,"Mon
1/1",DAL,@,UTA,"L
90-127",34,19,6,14,1,0,6,20,30,3,13,23.1,4,6,66.7,42,0,6,4,1,-17
Luka Dončić,"Sat
12/30",DAL,@,GSW,"W
132-122",38,39,8,10,1,1,14,29,48.3,5,13,38.5,6,7,85.7,60.8,0,8,4,3,9
Luka Dončić,"Wed
12/27",DAL,vs,CLE,"L
110-113",37,39,7,6,2,2,14,29,48.3,3,10,30,8,10,80,58.4,0,7,5,0,-9
Luka Dončić,"Mon
12/25",DAL,@,PHX,"W
128-114",44,50,6,15,4,3,15,25,60,8,16,50,12,12,100,82.6,1,5,4,2,16
Luka Dončić,"Sat
12/23",DAL,vs,SAS,"W
144-119",32,39,12,10,1,1,13,27,48.1,5,10,50,8,11,72.7,61.2,2,10,2,1,37
Luka Dončić,"Wed
12/20",DAL,vs,LAC,"L
111-120",44,28,9,10,1,0,9,25,36,2,11,18.2,8,14,57.1,44.9,1,8,5,1,-4
Luka Dončić,"Mon
12/18",DAL,@,DEN,"L
104-130",36,38,11,8,0,0,13,24,54.2,6,12,50,6,10,60,66.9,3,8,3,1,-29
Luka Dončić,"Sat
12/16",DAL,@,POR,"W
131-120",37,40,12,10,1,0,15,28,53.6,4,12,33.3,6,6,100,65.3,2,10,4,3,-4
Luka Dončić,"Thu
12/14",DAL,vs,MIN,"L
101-119",39,39,6,13,2,0,15,27,55.6,2,7,28.6,7,7,100,64.8,1,5,8,2,-12
Luka Dončić,"Tue
12/12",DAL,vs,LAL,"W
127-125",43,33,6,17,1,0,12,28,42.9,3,10,30,6,6,100,53.9,0,6,4,0,10
Luka Dončić,"Mon
12/11",DAL,@,MEM,"W
120-113",44,35,8,6,2,2,9,21,42.9,5,10,50,12,13,92.3,65.5,0,8,3,3,3
Luka Dončić,"Fri
12/8",DAL,@,POR,"W
125-112",41,32,6,10,1,1,11,28,39.3,3,14,21.4,7,8,87.5,50.8,0,6,5,1,13
Luka Dončić,"Wed
12/6",DAL,vs,UTA,"W
147-97",32,40,10,11,1,0,14,25,56,6,12,50,6,8,75,70.1,2,8,4,2,34
Luka Dončić,"Sat
12/2",DAL,vs,OKC,"L
120-126",46,36,15,18,2,2,11,22,50,5,13,38.5,9,14,64.3,63.9,2,13,7,2,-7
Luka Dončić,"Tue
11/28",DAL,vs,HOU,"W
121-115",38,41,9,9,2,0,15,29,51.7,3,10,30,8,9,88.9,62.2,0,9,0,3,12
Luka Dončić,"Sat
11/25",DAL,@,LAC,"L
88-107",38,30,3,4,2,2,12,27,44.4,1,8,12.5,5,5,100,51.4,0,3,4,4,-14
Luka Dončić,"Wed
11/22",DAL,@,LAL,"W
104-101",39,30,12,8,2,0,10,26,38.5,3,12,25,7,8,87.5,50.8,0,12,0,2,-11
Luka Dončić,"Sun
11/19",DAL,vs,SAC,"L
113-129",32,25,10,7,3,0,7,19,36.8,3,7,42.9,8,10,80,53.4,1,9,2,0,-14
Luka Dončić,"Sat
11/18",DAL,@,MIL,"L
125-132",35,35,9,9,0,0,15,26,57.7,4,9,44.4,1,4,25,63,1,8,3,1,-17
Luka Dončić,"Wed
11/15",DAL,@,WAS,"W
130-117",32,26,7,10,0,0,7,18,38.9,4,11,36.4,8,12,66.7,55.8,1,6,3,2,12
Luka Dončić,"Tue
11/14",DAL,@,NOP,"L
110-131",26,16,2,2,0,0,5,16,31.3,3,5,60,3,5,60,44,1,1,8,0,-26
Luka Dončić,"Sun
11/12",DAL,@,NOP,"W
136-124",28,30,4,9,1,0,11,18,61.1,4,9,44.4,4,5,80,74.3,0,4,2,0,14
Luka Dončić,"Fri
11/10",DAL,vs,LAC,"W
144-126",32,44,6,6,1,0,17,21,81,6,9,66.7,4,4,100,96.7,0,6,1,1,32
Luka Dončić,"Wed
11/8",DAL,vs,TOR,"L
116-127",38,31,7,8,4,1,11,26,42.3,2,10,20,7,10,70,51,0,7,4,3,-7
Luka Dončić,"Mon
11/6",DAL,@,ORL,"W
117-102",35,29,3,6,2,0,9,17,52.9,5,10,50,6,6,100,73.8,0,3,6,2,7
Luka Dončić,"Sun
11/5",DAL,vs,CHA,"W
124-118",36,23,12,9,0,1,8,19,42.1,1,9,11.1,6,7,85.7,52.1,1,11,4,3,3
Luka Dončić,"Fri
11/3",DAL,@,DEN,"L
114-125",38,34,10,8,0,1,11,24,45.8,6,11,54.5,6,7,85.7,62.8,3,7,9,2,-4
Luka Dončić,"Wed
11/1",DAL,vs,CHI,"W
114-105",40,18,7,10,2,1,5,16,31.3,1,8,12.5,7,9,77.8,45.1,0,7,6,2,11
Luka Dončić,"Mon
10/30",DAL,@,MEM,"W
125-110",40,35,12,12,1,1,11,22,50,6,12,50,7,10,70,66.3,0,12,6,4,6
Luka Dončić,"Fri
10/27",DAL,vs,BKN,"W
125-120",36,49,10,7,0,0,16,25,64,9,14,64.3,8,10,80,83.3,1,9,0,1,9
