PLAYER NAME,DATE,MIN,PTS,REB,TOV
Giannis Antetokounmpo,"Wed
1/3",36,26,11,3.0
Giannis Antetokounmpo,"Mon
1/1",37,30,18,4.0
Giannis Antetokounmpo,"Fri
12/29",37,34,16,3.0
Giannis Antetokounmpo,"Wed
12/27",30,32,10,2.0
Giannis Antetokounmpo,"Mon
12/25",39,32,13,2.0
Giannis Antetokounmpo,"Sat
12/23",32,28,7,5.0
Giannis Antetokounmpo,"Thu
12/21",37,37,10,5.0
Giannis Antetokounmpo,"Tue
12/19",34,11,14,3.0
Giannis Antetokounmpo,"Sun
12/17",39,26,17,6.0
Giannis Antetokounmpo,"Sat
12/16",26,22,8,0.0
Giannis Antetokounmpo,"Wed
12/13",37,64,14,4.0
Giannis Antetokounmpo,"Mon
12/11",41,32,12,2.0
Giannis Antetokounmpo,"Thu
12/7",41,37,10,1.0
Giannis Antetokounmpo,"Tue
12/5",34,35,8,4.0
Giannis Antetokounmpo,"Sat
12/2",36,32,11,5.0
Giannis Antetokounmpo,"Thu
11/30",39,26,14,5.0
Giannis Antetokounmpo,"Tue
11/28",40,33,10,4.0
Giannis Antetokounmpo,"Sun
11/26",39,33,16,4.0
Giannis Antetokounmpo,"Fri
11/24",37,31,9,3.0
Giannis Antetokounmpo,"Wed
11/22",37,21,13,3.0
Giannis Antetokounmpo,"Mon
11/20",34,42,13,5.0
Giannis Antetokounmpo,"Sat
11/18",38,40,15,3.0
Giannis Antetokounmpo,"Fri
11/17",28,16,8,4.0
Giannis Antetokounmpo,"Mon
11/13",35,35,11,3.0
Giannis Antetokounmpo,"Sat
11/11",37,35,10,6.0
Giannis Antetokounmpo,"Thu
11/9",36,54,12,8.0
Giannis Antetokounmpo,"Wed
11/8",22,15,9,1.0
Giannis Antetokounmpo,"Mon
11/6",35,36,12,3.0
Giannis Antetokounmpo,"Fri
11/3",36,22,8,7.0
Giannis Antetokounmpo,"Wed
11/1",28,16,4,3.0
Giannis Antetokounmpo,"Mon
10/30",32,33,7,2.0
Giannis Antetokounmpo,"Sun
10/29",29,26,11,3.0
Giannis Antetokounmpo,"Thu
10/26",35,23,12,7.0
Shai Gilgeous-Alexander,"Sun
4/14",16,15,1,0.0
Shai Gilgeous-Alexander,"Fri
4/12",29,23,7,0.0
Shai Gilgeous-Alexander,"Wed
4/10",26,26,6,1.0
Shai Gilgeous-Alexander,"Tue
4/9",38,40,7,5.0
Shai Gilgeous-Alexander,"Sun
3/31",35,19,2,2.0
Shai Gilgeous-Alexander,"Tue
3/26",38,24,5,0.0
Shai Gilgeous-Alexander,"Sun
3/24",30,12,3,4.0
Shai Gilgeous-Alexander,"Fri
3/22",33,23,7,6.0
Shai Gilgeous-Alexander,"Wed
3/20",33,31,3,1.0
Shai Gilgeous-Alexander,"Sat
3/16",35,20,7,3.0
Shai Gilgeous-Alexander,"Thu
3/14",37,31,9,1.0
Shai Gilgeous-Alexander,"Tue
3/12",37,30,10,4.0
Shai Gilgeous-Alexander,"Sun
3/10",27,23,2,1.0
Shai Gilgeous-Alexander,"Fri
3/8",36,37,5,1.0
Shai Gilgeous-Alexander,"Wed
3/6",36,37,3,4.0
Shai Gilgeous-Alexander,"Mon
3/4",30,20,7,4.0
Shai Gilgeous-Alexander,"Sun
3/3",38,35,8,1.0
Shai Gilgeous-Alexander,"Thu
2/29",35,31,6,1.0
Shai Gilgeous-Alexander,"Tue
2/27",32,31,8,2.0
Shai Gilgeous-Alexander,"Sun
2/25",37,36,5,4.0
Shai Gilgeous-Alexander,"Fri
2/23",30,30,7,1.0
Shai Gilgeous-Alexander,"Thu
2/22",35,31,4,2.0
Shai Gilgeous-Alexander,"Tue
2/13",34,32,3,1.0
Shai Gilgeous-Alexander,"Sun
2/11",39,38,3,1.0
Shai Gilgeous-Alexander,"Sat
2/10",29,25,6,3.0
Shai Gilgeous-Alexander,"Tue
2/6",36,28,4,2.0
Shai Gilgeous-Alexander,"Sun
2/4",48,23,9,2.0
Shai Gilgeous-Alexander,"Fri
2/2",30,31,3,3.0
Shai Gilgeous-Alexander,"Wed
1/31",36,34,7,2.0
Shai Gilgeous-Alexander,"Mon
1/29",39,37,7,4.0
Shai Gilgeous-Alexander,"Sun
1/28",29,31,5,3.0
Shai Gilgeous-Alexander,"Fri
1/26",32,31,4,4.0
Shai Gilgeous-Alexander,"Wed
1/24",29,32,6,4.0
Shai Gilgeous-Alexander,"Tue
1/23",35,33,6,3.0
Shai Gilgeous-Alexander,"Sat
1/20",37,33,2,2.0
Shai Gilgeous-Alexander,"Thu
1/18",35,31,6,4.0
Shai Gilgeous-Alexander,"Tue
1/16",34,19,2,2.0
Shai Gilgeous-Alexander,"Mon
1/15",34,24,3,3.0
Shai Gilgeous-Alexander,"Sat
1/13",36,37,6,0.0
Shai Gilgeous-Alexander,"Thu
1/11",21,31,5,2.0
Shai Gilgeous-Alexander,"Wed
1/10",34,28,2,3.0
Shai Gilgeous-Alexander,"Mon
1/8",36,32,6,3.0
Shai Gilgeous-Alexander,"Fri
1/5",36,34,9,2.0
Shai Gilgeous-Alexander,"Wed
1/3",35,33,13,2.0
Shai Gilgeous-Alexander,"Tue
1/2",37,36,6,0.0
Shai Gilgeous-Alexander,"Sun
12/31",35,24,4,1.0
Shai Gilgeous-Alexander,"Fri
12/29",33,40,4,1.0
Shai Gilgeous-Alexander,"Wed
12/27",36,36,7,1.0
Shai Gilgeous-Alexander,"Tue
12/26",33,34,6,3.0
Shai Gilgeous-Alexander,"Sat
12/23",38,34,5,3.0
Shai Gilgeous-Alexander,"Thu
12/21",32,31,8,1.0
Shai Gilgeous-Alexander,"Mon
12/18",28,30,9,2.0
Shai Gilgeous-Alexander,"Sat
12/16",37,25,6,2.0
Shai Gilgeous-Alexander,"Thu
12/14",38,43,6,3.0
Shai Gilgeous-Alexander,"Mon
12/11",28,30,4,1.0
Shai Gilgeous-Alexander,"Fri
12/8",42,38,5,0.0
Shai Gilgeous-Alexander,"Wed
12/6",37,33,3,2.0
Shai Gilgeous-Alexander,"Sat
12/2",39,17,3,2.0
Shai Gilgeous-Alexander,"Thu
11/30",35,33,4,0.0
Shai Gilgeous-Alexander,"Tue
11/28",34,32,4,3.0
Shai Gilgeous-Alexander,"Sat
11/25",36,31,6,1.0
Shai Gilgeous-Alexander,"Wed
11/22",37,40,5,2.0
Shai Gilgeous-Alexander,"Sun
11/19",23,28,3,3.0
Shai Gilgeous-Alexander,"Sat
11/18",41,40,7,3.0
Shai Gilgeous-Alexander,"Thu
11/16",29,24,2,2.0
Shai Gilgeous-Alexander,"Tue
11/14",28,28,6,2.0
Shai Gilgeous-Alexander,"Sun
11/12",37,35,7,1.0
Shai Gilgeous-Alexander,"Fri
11/10",38,33,7,2.0
Shai Gilgeous-Alexander,"Wed
11/8",38,43,7,3.0
Shai Gilgeous-Alexander,"Mon
11/6",37,30,8,2.0
Shai Gilgeous-Alexander,"Wed
11/1",38,20,5,2.0
Shai Gilgeous-Alexander,"Mon
10/30",33,32,9,5.0
Shai Gilgeous-Alexander,"Sun
10/29",28,7,4,0.0
Shai Gilgeous-Alexander,"Fri
10/27",36,34,11,5.0
Shai Gilgeous-Alexander,"Wed
10/25",36,31,5,1.0
Jalen Brunson,"Sun
4/14",41,40,8,4.0
Jalen Brunson,"Fri
4/12",37,30,1,0.0
Jalen Brunson,"Thu
4/11",30,39,2,2.0
Jalen Brunson,"Tue
4/9",42,45,3,1.0
Jalen Brunson,"Sun
4/7",39,43,6,1.0
Jalen Brunson,"Fri
4/5",42,35,6,5.0
Jalen Brunson,"Thu
4/4",38,35,2,3.0
Jalen Brunson,"Tue
4/2",36,20,2,5.0
Jalen Brunson,"Sun
3/31",35,30,2,3.0
Jalen Brunson,"Fri
3/29",43,61,4,1.0
Jalen Brunson,"Wed
3/27",29,26,4,0.0
Jalen Brunson,"Mon
3/25",30,28,2,0.0
Jalen Brunson,"Sat
3/23",33,17,4,1.0
Jalen Brunson,"Thu
3/21",34,26,2,0.0
Jalen Brunson,"Mon
3/18",35,34,5,3.0
Jalen Brunson,"Sat
3/16",36,42,4,6.0
Jalen Brunson,"Thu
3/14",38,45,1,5.0
