PLAYER NAME,DATE,TM,GAME,OPP,SCORE,MIN,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TOV,PF,PLUS/MINUS
Rudy Gobert,"Fri
1/12",MIN,vs,POR,"W
116-93",28,24,17,0,0,2,9,11,81.8,0,0,,6,8,75.0,82.6,5,12,1,2,=+33
Rudy Gobert,"Tue
1/9",MIN,@,ORL,"W
113-92",34,21,12,1,1,3,8,10,80.0,0,0,,5,6,83.3,83.1,1,11,2,3,=+13
Rudy Gobert,"Sun
1/7",MIN,@,DAL,"L
108-115",34,9,17,1,1,0,4,9,44.4,0,0,,1,4,25.0,41.8,6,11,5,4,=+1
Rudy Gobert,"Fri
1/5",MIN,@,HOU,"W
122-95",33,13,12,1,2,2,6,7,85.7,0,0,,1,3,33.3,78.1,3,9,1,2,=+22
Rudy Gobert,"Wed
1/3",MIN,vs,NOP,"L
106-117",24,5,5,0,0,1,2,3,66.7,0,0,,1,2,50.0,64.4,1,4,1,4,-16
Rudy Gobert,"Mon
1/1",MIN,@,NYK,"L
106-112",38,10,15,1,0,0,3,8,37.5,0,0,,4,6,66.7,47.0,2,13,1,2,-11
Rudy Gobert,"Wed
2/28",MIN,vs,MEM,"W
110-101",27,8,8,0,1,2,3,4,75.0,0,0,,2,4,50.0,69.4,2,6,3,2,-16
Rudy Gobert,"Tue
2/27",MIN,vs,SAS,"W
114-105",39,13,17,3,0,4,6,12,50.0,0,1,0.0,1,2,50.0,50.5,6,11,1,2,=+4
Rudy Gobert,"Fri
2/23",MIN,vs,MIL,"L
107-112",38,12,19,1,0,2,6,8,75.0,0,0,,0,1,0.0,71.1,7,12,0,5,=+5
Rudy Gobert,"Thu
2/15",MIN,@,POR,"W
128-91",26,11,12,2,0,2,4,7,57.1,0,0,,3,4,75.0,62.8,2,10,3,4,=+19
Rudy Gobert,"Tue
2/13",MIN,@,POR,"W
121-109",37,16,15,1,0,1,7,10,70.0,0,0,,2,4,50.0,68.0,6,9,1,3,=+12
Rudy Gobert,"Mon
2/12",MIN,@,LAC,"W
121-100",33,17,11,0,0,4,6,11,54.5,0,0,,5,5,100.0,64.4,6,5,2,4,=+9
Rudy Gobert,"Thu
2/8",MIN,@,MIL,"W
129-105",35,16,11,4,1,0,8,9,88.9,0,0,,0,1,0.0,84.7,3,8,0,3,=+13
